"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
"Tuna, skipjack, black............",0,0,0,0,0,0,0,0,0,0,74,0,74
"Tuna, skipjack......................",0,0,0,0,0,0,0,"1,783",0,0,0,0,"1,783"
"Tuna, unspecified.................",0,0,0,0,0,0,0,0,188,0,0,0,188
"Tuna, yellowfin.....................",0,0,0,655,186,0,0,0,0,0,0,0,841
Turbot..................................,0,0,65,0,0,8,5,107,0,25,36,5,252
Wahoo.................................,0,0,0,383,64,0,0,0,0,0,0,0,447
"Whiting, Pacific....................",0,0,0,0,4,0,0,0,0,0,0,552,556
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness.................","62,866","46,148","65,142","69,647","103,842","73,602","2,158",0,0,0,"10,114","674,915","1,108,433"
"Crab, box.............................",93,0,0,0,0,0,0,0,0,0,0,0,93
"Crab, brown rock..................",0,0,0,0,0,0,0,0,0,0,4,0,4
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June July,,August September,,October,November December,,Landings
California Waters,,,,,,,,,,,,,
Crustaceans,,,,,,,,,,,,,
"Crab, red rock......................",0,70,76,0,0,0,0,0,0,60,73  0,,279
"Crab, rock unspecified..........","1,911","2,429","2,902","2,934","2,657","3,949  6,510",,"5,395","4,884","3,327","1,240  381",,"38,520"
"Crayfish, signal.....................",0,0,0,0,0,0  235,,0,0,0,0  0,,235
"Prawn, spot..........................",0,"7,493","15,684","6,392","4,773","6,897  4,302",,"2,118","1,925","2,961",0  0,,"52,544"
"Shrimp, bay..........................","8,297","7,076","10,520","5,734","5,799","9,820  8,754",,"8,443","4,988","7,414","9,081  8,152",,"94,077"
"Shrimp, brine........................","6,217",970,"8,435","61,973","226,566","212,038  130,743",,"81,200","87,783","23,548","21,109  3,134",,"863,716"
"Shrimp, red rock...................",0,0,0,942,0,0,0,0,0,0,0  0,,942
Echinoderms,,,,,,,,,,,,,
"Urchin, red...........................","8,641","5,386","1,030",0,0,0,0,0,0,354,0  0,,"15,411"
Mollusks,,,,,,,,,,,,,
"Clam, rosy razor...................",33,0,0,0,0,0,0,0,0,0,0  0,,33
Mussel.................................,0,0,0,0,16,0,0,0,0,0,0  0,,16
"Octopus, unspecified............",0,35,197,308,526,238  320,,0,37,87,0  59,,"1,807"
"Squid, jumbo........................",0,0,0,0,0,0,0,0,0,30,0  0,,30
"Squid, market.......................",16,0,0,0,0,"34  19,682",,0,0,0,0  0,,"19,732"
Turtles,,,,,,,,,,,,,
Turtle....................................,0,0,0,0,0,0,0,8,0,0,0  0,,8
Waters Area Total:,"5,380,293","326,018","530,932","371,224","1,053,699","573,714  864,595",,"592,847","664,576","500,129","271,194  1,028,349",,"12,157,569"
Grand Total,"5,380,293","326,018","530,932","371,224","1,053,699","573,714  864,595",,"592,847","664,576","500,129","271,194  1,028,349",,"12,157,569"
"",,,,,,,,,,,"Total Records:  17,861",,
"",,,,,,*******************,,,,,,,
"",,,,,,End of Report,,,,,,,
