California Waters - Finfish,,,,,,,,,,,,,
Species January,February,March,April,May,June,,July,August,September,October,November,December,Landings
"Thornyhead, shortspine",0,38,30,0,0,0,0,0,82,19,47,16,232
"Tuna, albacore",0,0,0,0,0,0,0,0,0,"154,751",0,0,"154,751"
"Tuna, bigeye","21,150","13,370","10,718","13,347",0,0,"20,385","15,651",64,455,"29,544","48,989","173,673"
"Tuna, bluefin",0,0,0,0,0,0,0,0,0,258,0,0,258
"Tuna, skipjack",322,"1,222",0,418,0,0,0,0,0,0,287,777,"3,026"
"Tuna, yellowfin",0,0,0,0,0,0,0,0,0,29,0,0,29
"Tuna, yellowfin","1,828","3,342","2,200","2,864",0,0,"1,771",160,0,126,62,66,"12,419"
Wahoo,522,353,576,"1,003",0,0,219,0,0,0,743,"3,546","6,962"
"Whitefish, ocean",0,0,0,0,0,0,0,0,39,45,0,0,84
Yellowtail,0,0,0,0,0,0,0,0,24,0,0,0,24
Water Area Total:,"42,246","28,143","20,820","24,154",0,0,"27,058","24,979","6,186","205,014","50,983","117,723","547,306"
Grand Total:,"4,643,511","1,496,273","388,102","607,358","338,466","968,556","7,047,247","1,416,738","1,608,689","2,661,012","1,645,487","2,699,143","25,520,584"
