"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Sole, slender..................................",,0,0,0,0,0,0,0,145,27,0,0,0,172
"Sole, unspecified............................",,"5,927","1,912","2,026","3,589","7,334",423,"1,934","1,548","1,072","6,114","8,269","6,409","46,557"
Stingray..........................................,,0,0,0,0,0,20,48,"1,692",120,990,"1,337",383,"4,590"
"Sunfish, ocean...............................",,0,0,25,26,0,0,0,0,0,0,0,0,51
"Surfperch, barred...........................",,575,150,123,19,0,0,0,285,222,144,100,65,"1,682"
"Surfperch, black.............................",,0,0,0,0,6,2,0,0,0,1,0,0,9
"Surfperch, calico............................",,0,3,0,0,0,0,0,0,0,0,0,0,3
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Surfperch, redtail............................",,0,485,"3,452","2,249",0,0,0,"4,393","1,253",0,0,40,"11,872"
"Surfperch, rubberlip........................",,13,1,0,0,19,1,81,5,0,1,1,1,123
"Surfperch, unspecified....................",,627,511,"1,088",162,3,15,45,536,376,334,758,448,"4,904"
Swordfish.......................................,,"169,655",67,366,221,104,"5,696","21,193","46,425","21,335","127,318","279,987","163,541","835,907"
"Thornyhead, longspine...................",,"103,028","81,111","27,659","54,602","91,035","134,085","116,540","115,227","103,256","170,251","89,858","18,799","1,105,450"
"Thornyhead, shortspine..................",,"65,080","50,039","37,961","44,576","68,343","66,082","59,186","70,483","60,279","96,273","73,384","37,424","729,109"
Thornyheads..................................,,"1,119","3,266","1,524","4,337","7,508",925,"1,017","1,410","1,062","2,930","2,377",509,"27,984"
Triggerfish......................................,,0,0,0,0,0,0,0,0,0,0,7,0,7
"Tuna, albacore...............................",,"42,400",0,852,"3,748","3,197","5,868","39,747","87,812","536,252","1,161,484","5,168","3,103","1,889,630"
"Tuna, bigeye..................................",,"6,604",0,"8,167","5,734","3,381",0,0,0,0,0,0,"2,662","26,548"
"Tuna, bluefin..................................",,394,0,0,0,0,0,0,0,18,"93,941","3,898",386,"98,637"
"Tuna, skipjack, black......................",,0,0,0,0,0,0,0,0,0,284,0,0,284
"Tuna, skipjack................................",,123,0,130,305,57,0,0,0,505,"5,503",0,"4,532","11,155"
"Tuna, unspecified...........................",,0,13,0,0,0,0,0,0,0,0,0,0,13
"Tuna, yellowfin...............................",,"1,521",0,"1,460","4,289","2,153",0,98,713,138,"185,163",0,"34,039","229,574"
"Turbot, curlfin.................................",,0,0,0,0,0,0,0,6,0,5,0,0,11
Turbot............................................,,14,20,171,180,85,37,69,101,118,47,88,19,949
Wahoo............................................,,123,0,216,64,275,0,0,0,0,0,0,113,791
"Whitefish, ocean.............................",,156,218,319,184,564,202,30,378,303,239,"1,161",263,"4,020"
"Whiting, Pacific..............................",,0,33,"1,050","1,554,217","4,986,676",2,4,6,29,353,825,21,"6,543,217"
"Wrasse, rock..................................",,0,0,0,0,0,0,0,10,0,0,0,0,10
Yellowtail........................................,,830,171,141,"1,068",172,"4,057","5,206","3,948","4,332","2,078","1,545",673,"24,220"
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness...........................",,"4,001,890","1,045,979","697,472","388,469","485,574","180,950","17,610",0,0,667,"39,465","4,171,808","11,029,883"
"Crab, box.......................................",,"2,098",7,694,63,0,164,1,7,1,0,0,0,"3,035"
"Crab, brown rock............................",,0,0,0,0,0,0,0,40,50,0,208,"3,120","3,418"
"Crab, claws....................................",,118,185,205,148,140,36,104,115,31,84,28,19,"1,213"
"Crab, king.......................................",,22,5,110,38,4,2,0,0,0,0,0,0,181
