California Waters - Finfish,,,,,,,,,,,,,
Species January,February,March,April,May,June,,July,August,September,October,November,December,Landings
"Tuna, bigeye 49,655","38,043",,"52,744","59,821","121,266","82,328","175,737","97,501","98,039","53,126","14,653","25,445","868,358"
"Tuna, bluefin 0",0,,0,0,0,0,120,0,0,0,0,0,120
"Tuna, skipjack 75",620,,"1,107","1,190",281,64,52,0,"1,044","1,548","1,118","1,082","8,181"
"Tuna, yellowfin 6,490","9,543",,"12,469","13,506","31,851","11,436","13,826","8,994","21,885","11,039","4,509","6,039","151,587"
"Wahoo 1,851",743,,"3,517","8,996","23,994","6,614","1,879","2,170","6,058","3,082","3,325","5,223","67,452"
Other Waters – Crustaceans,,,,,,,,,,,,,
Species January,February,,March,April,May,June,July,August,September,October,November,December,Landings
"Crab, red rock 0",0,,0,0,0,0,0,14,0,0,0,0,14
"Crab, yellow rock 0",0,,0,0,0,0,0,36,0,0,0,0,36
"Other Waters Total: 106,081","88,457",,"97,071","112,537","259,549","137,426","248,572","145,211","200,204","151,547","36,688","96,362","1,679,704"
"",,,,,,,,,,,,,
Waters South of the State – Finfish,,,,,,,,,,,,,
Species January,February,,March,April,May,June,July,August,September,October,November,December,Landings
Dolphin (fish) 0,0,,0,0,0,0,0,0,0,280,"2,631","1,753","4,664"
Escolar 0,0,,0,0,0,0,0,0,0,0,294,"1,199","1,493"
Opah 0,0,,0,0,0,0,0,0,0,"10,216","13,553","15,008","38,777"
Pomfret 0,0,,0,0,0,0,0,0,0,368,845,813,"2,026"
"Seabass, white 0",0,,0,0,0,0,205,0,0,0,0,0,205
"Shark, shortfin mako 0",0,,0,0,0,0,46,0,0,0,711,0,757
Swordfish 0,0,,0,0,0,0,0,0,0,0,52,0,52
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Tuna, bigeye",0,0,0,0,0,0,0,0,0,"9,630","24,716","23,901","58,247"
"Tuna, skipjack",0,0,0,0,0,0,0,0,0,0,0,801,801
"Tuna, yellowfin",0,0,0,0,0,0,0,0,0,"2,407","6,179","6,4343","15,020"
Wahoo,0,0,0,0,0,0,0,0,0,472,458,"4,067","4,997"
Yellowtail,0,0,0,0,0,0,21,0,0,0,0,0,21
Water Area Total:,0,0,0,0,0,0,272,0,0,"23,373","49,439","53,976","127,060"
Grand Total:,"236,597","216,560","199,146","315,550","493,395","467,512","600,127","555,898","634,166","614,426","379,675","375,095","5,088,146"
