"",,,,,,,,,,,,,Total
"",LandingsSpecies January,February,March,April,May,June,July,August,September,October,November,December,
"Seabass, white","1,825","10,655","11,858",576,"1,536","107,592","51,189","16,640","7,870","13,427","14,568",256,"237,991"
"Seaperch, striped",227,191,198,22,0,0,0,0,2,0,0,208,848
Senorita,0,0,0,0,0,0,75,0,0,0,0,0,75
"Shad, American",1,98,441,123,59,147,6,2,4,0,0,0,881
"Shad, threadfin",185,6,0,460,445,161,465,140,"5,835","7,380","5,905","1,005","21,987"
"Shark, bigeye thresher",0,0,0,0,0,0,0,0,108,270,"1,236",0,"1,614"
"Shark, blacktip",0,0,0,0,0,0,0,17,0,0,0,0,17
"Shark, brown smoothhound",0,13,36,0,0,6,111,35,60,0,14,72,347
"Shark, horn",0,0,0,12,0,0,0,0,0,0,0,0,12
"Shark, leopard",898,"1,416",537,692,127,"1,533",616,450,319,477,471,456,"7,991"
"Shark, Pacific angel","1,898","2,280","3,104","5,947",546,"2,325","3,791","3,591","2,466","2,604","2,918","4,700","36,171"
"Shark, pelagic thresher",79,0,0,0,66,0,0,0,0,0,0,86,231
"Shark, sevengill",0,35,0,147,0,0,0,110,43,115,0,0,450
"Shark, shortfin mako","2,276","4,575","1,033",96,"3,868","3,031","1,979","4,681","1,264","7,331","11,136","2,963","44,231"
"Shark, sixgill",0,0,0,3,0,0,0,0,0,0,0,0,3
"Shark, smooth",0,0,0,0,0,0,0,0,0,246,0,0,246
hammerhead,,,,,,,,,,,,,
"Shark, soupfin","1,603",976,503,531,400,993,"1,744","2,137","1,303","1,806","3,442",355,"15,792"
"Shark, spiny dogfish","2,214",545,"3,444","2,565",687,"1,086","4,534",112,133,205,339,256,"16,120"
"Shark, swell",96,67,20,8,0,95,57,18,0,6,20,0,387
"Shark, thresher","24,789","1,109",869,795,"1,568","4,799","9,978","4,123",575,"1,083","4,469","3,931","58,089"
"",,,,,,,,,,,,,Total
"",LandingsSpecies January,February,March,April,May,June,July,August,September,October,November,December,
FISHES,,,,,,,,,,,,,
"Shark, unspecified",277,0,340,152,135,293,326,0,35,61,58,525,"2,202"
"Shark, white",0,0,0,0,0,0,0,60,350,0,0,0,410
"Sheephead, California","3,464","6,694",0,0,"2,748","4,461","4,790","5,074","6,007","3,972","6,931","2,844","46,985"
"Skate, big",84,62,436,"3,117","5,703","4,250","11,781","9,736","10,139","5,294","1,547",787,"52,936"
"Skate, California",79,34,68,452,0,568,35,5,0,0,0,46,"1,287"
"Skate, longnose","12,569","2,620","16,813","17,508","9,266","13,982","38,464","53,281","31,448","28,370","21,560","9,301","255,182"
"Skate, thornback",0,0,0,20,0,0,0,0,0,0,0,0,20
"Skate, unspecified","2,572","3,317","2,525","2,452","3,468",716,623,365,197,69,200,867,"17,371"
"Smelt, night",682,"8,489","31,529","32,123","97,268","62,717","42,326","5,752",10,0,0,0,"280,896"
"Smelt, surf",0,0,0,0,"1,355",756,0,120,179,0,0,72,"2,482"
"Sole, curlfin",0,138,224,415,139,395,269,339,93,22,185,168,"2,387"
"Sole, Dover","266,973","54,559","294,529","302,629","254,423","173,051","396,803","456,366","356,809","483,369","331,961","173,052","3,544,523"
"Sole, English","1,522",787,"1,331","11,454","9,197","15,033","29,050","24,208","20,107","12,525","6,328","3,107","134,649"
"Sole, fantail",93,118,193,24,129,194,937,768,693,257,278,167,"3,850"
"Sole, petrale","178,024","36,397","88,109","94,506","110,956","93,755","141,175","122,904","92,432","132,493","111,438","111,226","1,313,414"
"Sole, rex","8,702",857,"6,386","11,509","15,356","10,730","20,441","24,215","14,143","17,339","13,293","6,979","149,950"
"Sole, rock",56,90,137,7,70,125,512,531,118,109,407,43,"2,203"
"Sole, sand",265,708,"1,075","1,097","1,986","1,738","3,941","2,517","3,672","3,659",108,0,"20,766"
"Sole, slender",19,0,11,25,67,2,29,5,35,4,0,0,197
"Sole, unspecified","2,546",918,430,276,106,649,795,207,51,420,"1,153",152,"7,702"
Stingray,29,"1,499",183,60,21,25,440,13,165,275,650,956,"4,316"
Sucker,0,20,52,0,0,0,0,0,0,0,0,0,72
"Surfperch, barred","1,405","1,499","1,082",151,0,0,0,"1,736","1,396","1,430",818,825,"10,341"
"Surfperch, black",310,987,580,0,0,0,0,71,24,111,5,197,"2,284"
"Surfperch, calico",0,0,0,73,0,0,0,31,0,0,0,35,139
"Surfperch, pile",28,44,124,0,0,0,0,0,0,0,0,7,203
"Surfperch, rainbow",0,0,1,0,0,0,0,0,11,0,1,0,13
"Surfperch, redtail",183,"1,518",898,"1,323",0,0,0,"2,450","1,345",703,738,0,"9,158"
"Surfperch, rubberlip",19,78,72,0,0,0,0,0,9,2,2,104,286
"Surfperch, unspecified",0,0,1,2,8,0,0,0,0,0,0,0,11
"Surfperch, walleye",50,58,18,54,0,0,0,0,0,0,0,14,194
"Surfperch, white",10,84,29,0,0,0,0,0,0,0,0,3,126
Swordfish,"255,810","282,745","52,215","45,448","3,132","4,811","11,294","23,255","35,315","50,518","97,120","74,272","935,935"
"Thornyhead, longspine","27,379","3,458","23,862","20,115","35,426","6,584","28,436","15,211","36,480","67,526","67,349","42,519","374,345"
"Thornyhead, shortspine","52,414","31,883","51,647","33,739","43,294","24,396","37,564","46,334","49,320","72,953","69,313","51,266","564,122"
"",,,,,,,,,,,,,Total
"",LandingsSpecies January,February,March,April,May,June,July,August,September,October,November,December,
FISHES,,,,,,,,,,,,,
Thornyheads,281,40,244,44,263,111,79,422,"1,004",384,48,0,"2,919"
"Trawled fish, unspecified","1,300",407,"1,217",863,835,234,0,0,0,0,0,0,"4,856"
Triggerfish,0,4,0,0,0,143,0,70,10,9,0,0,236
"Tuna, albacore",161,32,0,0,0,0,"9,451","52,857","240,669","31,936","1,229","1,150","337,485"
"Tuna, bigeye","164,147","133,113","173,316","120,065","99,030","128,856","156,734","102,396","19,971","95,176","96,816","64,283","1,353,903"
"Tuna, bluefin","5,286",501,372,0,566,"7,356","32,893","33,835","20,483","7,644","19,737","10,623","139,295"
"Tuna, skipjack","1,057",166,201,0,799,90,0,"451,795","1,969,816","41,446","3,872","9,417","2,478,659"
"Tuna, yellowfin","12,975","5,321","1,972",808,"23,339","8,670","535,403","1,930,851","588,334","2,849","8,260","4,541","3,123,323"
Turbot,14,29,34,36,0,40,162,20,0,130,0,0,464
"Turbot, hornyhead",0,0,0,1,0,29,21,52,27,0,26,49,206
Wahoo,"2,065","1,202","1,298","2,340","6,587","2,415","1,106","2,409",100,"1,547","2,066","5,331","28,466"
"Whitefish, ocean",869,649,"1,376",755,"1,021",604,947,926,"1,189","2,748","2,704","1,195","14,984"
"Whiting, Pacific",183,51,124,615,"1,117","3,078","1,557",779,529,408,387,195,"9,023"
Yellowtail,"5,596","1,264","1,054",766,"1,328","6,899","7,157","6,581","1,470","5,196","1,989","1,134","40,435"
CRUSTACEANS,,,,,,,,,,,,,
"Crab, armed box",0,15,5,26,336,22,0,0,0,24,22,24,473
"Crab, box","7,625","4,383","6,692","4,485","7,896","4,949","5,585","5,197","4,606","5,729","3,323","5,196","65,665"
"Crab, brown rock","9,562","9,602","9,698","7,029","3,550","6,648","6,808","7,371","11,348","6,909","4,782","2,423","85,729"
"Crab, claws",0,119,97,91,38,101,61,87,27,36,14,0,671
"Crab, Dungeness","562,865","11,316,476","2,827,541","447,488","461,924","205,769","58,303",0,0,0,"1,957,714","967,544","18,805,626"
"Crab, king",780,136,235,391,"1,439",949,643,480,"1,461",297,266,127,"7,204"
"Crab, red rock","31,956","25,172","34,142","24,654","64,204","57,348","51,311","41,563","51,262","33,904","20,335","21,557","457,407"
"Crab, rock unspecified","13,684","13,207","20,919","39,070","20,823","19,092","16,848","11,387","9,666","7,483","6,298","8,824","187,299"
"Crab, southern kelp",0,12,3,1,0,0,0,0,0,13,2,13,45
"Crab, spider","10,727","8,944","8,392","1,871","2,477","2,891","4,584","4,589","4,646","7,649","8,030","10,062","74,863"
"Crab, spider/sheep claws",0,0,0,0,0,0,91,374,0,0,38,0,503
"Crab, tanner",112,26,267,145,22,3,100,14,83,241,229,222,"1,463"
