"",,,,,,,,,,,,,,Total
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Surfperch, redtail........................",,274,510,"3,875","5,050",0,0,"1,542","2,925","1,520",441,129,0,"16,266"
"Surfperch, rubberlip....................",,0,0,0,178,0,0,0,20,0,0,0,0,198
"Surfperch, shiner........................",,0,0,0,0,0,0,8,20,6,8,153,16,211
"Surfperch, unspecified...............",,939,"1,837","2,265","3,977",185,24,294,373,"1,110",406,796,"1,033","13,238"
"Surfperch, walleye......................",,0,0,0,336,0,0,0,0,0,0,0,0,336
Swordfish...................................,,"555,768","411,191","351,618","501,643","230,076","4,396","27,525","39,216","46,156","373,689","409,246","400,858","3,351,381"
"Thornyhead, longspine...............",,"70,132","121,264","183,607","113,206","155,570","96,427","135,185","153,783","258,047","17,283","6,274","4,046","1,314,826"
"Thornyhead, shortspine..............",,"32,977","32,016","61,152","35,970","54,917","32,972","47,153","44,201","79,409","15,238","6,517","7,160","449,682"
Thornyheads..............................,,"5,637","6,872","15,209","4,692","4,712","5,655","5,805","4,940","22,756","8,437","10,432","9,829","104,974"
"Tomcod, Pacific.........................",,0,0,0,78,0,7,107,0,0,0,0,0,192
Topsmelt....................................,,0,0,0,0,0,0,0,406,0,0,0,0,406
"Trawled fish, unspecified............",,0,0,0,0,0,0,0,0,0,21,0,8,29
Triggerfish..................................,,0,12,3,56,2,0,0,0,0,0,0,0,72
"Tuna, albacore...........................",,"10,430","8,852","2,649","11,278","11,939","93,456","844,073","1,044,535","2,383,540","1,306,058","826,115","4,577","6,547,502"
"Tuna, bigeye..............................",,"6,669","16,560","18,353","37,977","11,723",0,438,299,0,"6,702",762,212,"99,695"
"Tuna, bluefin..............................",,"3,163","1,951",629,"3,640",174,243,"3,167","22,526","84,970","244,900","20,406","43,406","429,175"
"Tuna, skipjack, black..................",,0,0,0,0,0,0,0,0,0,0,74,0,74
"Tuna, skipjack............................",,0,"102,838",0,"18,188",0,0,223,"1,791",885,875,412,0,"125,212"
"Tuna, unspecified.......................",,0,0,0,0,0,0,0,0,887,75,89,125,"1,176"
"Tuna, yellowfin...........................",,607,"37,907","56,026","143,592",754,8,"1,115","240,428","663,215","267,262","3,193",139,"1,414,247"
Turbot........................................,,91,264,801,"1,203","3,190","2,640","1,247","1,611",533,"1,269",261,5,"13,114"
