"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Shrimp, coonstriped......................",0,0,0,0,"23,337","9,768","7,028","12,279","19,128","13,637",0,0,"85,176"
"Shrimp, ghost.................................",4,12,11,8,4,10,9,5,7,5,6,3,83
"Shrimp, mantis...............................",0,16,54,0,0,0,1,0,0,0,0,0,71
"Shrimp, ocean (pink)....................",0,0,0,0,"215,680","412,440","702,375","569,130","184,779",0,0,0,"2,084,404"
Echinoderms,,,,,,,,,,,,,
Bryozoan........................................,0,2,13,7,0,0,0,0,15,0,0,0,37
"Echinoderm, unspecified.............",0,5,0,0,0,0,0,0,0,0,0,0,5
Sand dollar....................................,10,12,10,32,8,13,2,20,11,15,0,0,133
"Sea cucumber, giant red............",0,"2,664","2,735","23,433","12,492","51,381","77,067","47,088","25,529","11,687","1,985","7,481","263,543"
"Sea cucumber, unspecified........",0,492,"13,300",100,632,186,"8,060",132,"1,849","1,163",0,"1,701","27,615"
"Sea cucumber, warty...................","21,896","50,364","33,785","71,574","98,666","87,844","80,172","63,713","13,335",948,870,"2,808","526,014"
Sea stars.........................................,0,0,36,19,83,102,67,20,35,0,10,0,372
"Sea urchin, purple.........................",0,269,108,376,721,841,749,85,47,"5,448",886,173,"9,703"
"Sea urchin, red..............................","758,020","814,015","889,597","809,423","707,475","419,951","912,638","835,148","1,004,193","1,122,753","874,737","1,123,902","10,271,851"
"Sea urchin, white..........................",0,0,0,0,0,0,0,0,0,85,0,0,85
Mollusks,,,,,,,,,,,,,
"Chiton, unspecified......................",0,1,0,0,0,0,0,0,0,0,0,0,1
"Clam, unspecified........................",0,0,0,0,0,0,0,0,0,"1,856",0,0,"1,856"
"Limpet, keyhole.............................",31,308,0,0,33,65,13,0,5,270,450,0,"1,175"
"Limpet, unspecified......................",0,0,0,0,0,0,0,0,0,0,0,0,0
"Mollusk, unspecified.....................",0,2,58,5,306,0,0,"4,577",0,0,0,0,"4,948"
Mussel.............................................,300,108,17,0,0,0,0,0,0,15,0,0,440
"Octopus, unspecified...................",86,119,432,317,305,275,297,145,39,103,107,30,"2,255"
Sea hare........................................,625,627,773,895,"1,072",819,694,733,853,917,563,439,"9,010"
Sea slug..........................................,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snail, sea........................................",0,554,0,207,106,92,157,0,1,0,100,84,"1,301"
"Snail, tegula...................................",124,0,0,0,0,0,0,0,0,0,0,0,124
"Snail, top........................................",0,0,5,40,87,11,0,25,89,90,15,0,362
"Snails, moon...................................",0,0,0,0,0,2,0,0,0,0,0,0,2
Species,January,February,March,April,May June,July,,August September,October,,November,December,Landings
Mollusks,,,,,,,,,,,,,
"Squid, jumbo.................................",357,147,41,0,7  21,0,,"2,207  63,819","10,232",,734,"1,664","79,229"
"Squid, market................................","19,778,298","20,687,541","4,204,963","372,020","676,512  2,317,559  6,748,423",,,"4,166,133  265,492","987,034",,"8,600,150","15,192,694","83,996,819"
"Whelk, Kellet's...............................","15,129","13,933","17,135","15,904","9,980  13,304  17,158",,,"16,367  7,478","7,292",,"12,552","14,465","160,696"
Plants,,,,,,,,,,,,,
"Algae, marine...............................",5,0,35,0,0  10,10,,0,0,5,0,0,65
Kelp.................................................,65,100,50,15,5  31,62,,15,3,0,0,25,371
Worms,,,,,,,,,,,,,
Invertebrate Unspecified.............,5,0,0,0,0  6,6,,2,0,0,0,0,19
"Invertebrates, colonial.................",1,0,0,0,0  2,0,,0,0,0,0,0,3
Sea pansy......................................,0,0,0,0,1  0,0,,1,1,0,1,0,4
Tunicates........................................,0,0,0,3,0  0,0,,0,0,0,0,0,3
"Worms, marine..............................",0,27,15,0,0  0,0,,0,0,0,0,0,42
Total Pounds:,"30,805,455","34,767,095","30,051,476","28,459,599","34,705,694  9,083,005  51,785,156",,,"18,531,363  27,047,653","11,905,192",,"15,356,998","22,361,655","314,860,379"
"",,,,,*******************,,,Total Records:,"103,709",,,,
"",,,,,End of Report,,,,,,,,
